/videos/176057936	Rasmus Lerdorf - Deploying PHP 7 - phpDay 2016	GrUSP	3724	en	by-nc-nd	1280	php
/videos/25075854	Ext Direct through PHP router	Grgur Grisogono	3014		by-nc-sa	1280	php
/videos/134281521	phpDay 2015 - Steve Maraspin - Meet a parallel, asynchronous PHP world	GrUSP	2851	en	by-nc-nd	1280	php
/videos/104905552	PHP Under The Hood Davey - Davey Shafik - phpDay 2014	GrUSP	2365	en	by-nc-nd	1280	php
/videos/48594258	a very non wedding.	christopher robert	222		by	1280	php
/videos/93717447	Dependency Injection in PHP - Bangla Screencast	Abu Ashraf Masnun	954		by-nc-nd	1280	php
/videos/89864594	concevez-votre-site-web-avec-php-et-mysql_P1CH7	OpenClassrooms	359	fr	by-nc-sa	1280	php
/videos/90910564	concevez-votre-site-web-avec-php-et-mysql_P3CH1	OpenClassrooms	387	fr	by-nc-sa	640	php
/videos/89864592	concevez-votre-site-web-avec-php-et-mysql_P1CH5	OpenClassrooms	536	fr	by-nc-sa	1280	php
/videos/89864633	concevez-votre-site-web-avec-php-et-mysql_P1CH9	OpenClassrooms	594	fr	by-nc-sa	1280	php
/videos/63022489	Tutorial - Creating a Poll application in 15 minutes with Phalcon	Phalcon Framework	929		by	1152	php
/videos/45417023	Intro to the Laravel PHP Framework	Atlanta PHP User Group	2353		by-nc-sa	640	laravel
/videos/199811360	Switching PHP versions with Laravel Valet	Michael Dyrynda	222	en	by-nc-sa	1280	laravel
/videos/254124807	Dario Tranchitella - 12 Factors Laravel - LaravelDay 2017	GrUSP	2886		by-nc-nd	1280	laravel
/videos/62598212	Laravel4 Tutorial - Episode 2	Abu Ashraf Masnun	1071		by-nc-nd	640	laravel
/videos/133956480	Digital Natives ontwikkelt hoogwaardige websites	True	165	nl	by-sa	1920	laravel
/videos/61430595	Laravel4 Tutorial - Episode 1	Abu Ashraf Masnun	913		by-nc-nd	640	laravel
/videos/152105562	Illumenating the Web with Lumen	Atlanta PHP User Group	2149	en	by-nc-sa	1280	laravel
/videos/267971128	Vue.js, le framework progressif - Guillaume Chau - MiXiT 2018	MiXiT	2861	fr	by-nc-nd	1920	laravel
/videos/134284730	SWIS ontwikkelt maatwerk webapplicaties voor bedrijven	True	127	nl	by-sa	1280	laravel
/videos/153615883	Planificación del proyecto	Victor Avelar	452	es-MX	by-sa	1280	laravel
/videos/262203652	laravel-creer-une-chaussure	David Yao	1129		by-sa	1350	laravel
/videos/243140914	Laravel, Vue.js, And How To Hate JavaScript Less - Minitalk	Atlanta PHP User Group	975	en	by-nc-sa	1280	laravel
/videos/262203804	laravel-pour-aller-plus-vite	David Yao	374		by-sa	1350	laravel
/videos/254123371	Damiano Petrungaro - Using Repository Pattern with Eloquent for Code That Lasts - LaravelDay 2017	GrUSP	1256	it	by-nc-nd	1280	laravel
/videos/70220342	Coding the night away - a time-lapse	chadedge	102		by-nc-nd	642	laravel
/videos/62973109	Simple WebApp muestra entradas de mercancia	Zahir Gudiño	20		by-nc	1280	laravel
/videos/153615733	Configuración y aspectos de Homestead	Victor Avelar	268	es-MX	by-sa	1156	laravel
/videos/153615678	Introducción al proyecto	Victor Avelar	223	es-MX	by-sa	1280	laravel
/videos/254124516	Danilo Costa - Designing Virtual Reality App with Laravel Integration - LaravelDay 2017	GrUSP	1311	it	by-nc-nd	1280	laravel
/videos/263644890	laravel-intervention-image	David Yao	357		by-sa	1350	laravel
/videos/237391847	PHPDAY 2017 - Recap	GrUSP	182	en	by-nc-nd	1280	laravel
/videos/112936639	Caravel Development — adding multiple items hack	Alexandre fimdomeio	51	en	by-nc-sa	1024	laravel
/videos/162004560	Developer's Best Friend P3 Project Demo	Robert Simpson	299		by-nc	1152	laravel
/videos/164803481	1 - Installing Laravel On Windows Operating System	Arosh Khan	336	en	by-nc-nd	1364	laravel
/videos/263644811	laravel-ajout-colonne-image	David Yao	335		by-sa	1350	laravel
/videos/254129350	Simone Gentili - Deploy di applicazioni Laravel con le pipeline di Bitbucket - LaravelDay 2017	GrUSP	1111	it	by-nc-nd	1280	laravel
/videos/263018786	Learn: JS Build Process w/ Kelly Packer	Foster Made	3612	en	by-nc-nd	2560	laravel
/videos/254289186	Laravel QuickStarter HOWTO	Theodore R. Smith	230	en	by	1920	laravel
/videos/248987804	intro-laravel	David Yao	30		by-sa	600	laravel
/videos/263644467	laravel-controller-image	David Yao	845		by-sa	1350	laravel
/videos/254123133	Christopher Pecoraro - RESTful API: la novità in Laravel 5.5 - LaravelDay 2017	GrUSP	1056		by-nc-nd	1280	laravel
/videos/262203888	laravel-blade-index	David Yao	695		by-sa	1350	laravel
/videos/71839609	Laravel 4	Wes Hunt	3350		by	640	laravel
/videos/134814723	phpDay 2015 - Yitzchok Willroth - Inside Laravel 5.0	GrUSP	3123	en	by-nc-nd	1280	laravel
/videos/164804060	2 - Installing Laravel On Cloud Development Environment	Arosh Khan	516	en	by-nc-nd	1364	laravel
/videos/130398347	Laravel-based CMS - Devise - Minitalk	Atlanta PHP User Group	838	en	by-nc-sa	1280	laravel
/videos/190974122	Øredev 2016 - Adam Goucher - Laravel and AWS	Øredev Conference	2581		by-nc-nd	1280	laravel
/videos/263731142	laravel-creation-champ-image	David Yao	676		by-sa	1350	laravel
/videos/262203544	laravel-rud	David Yao	853		by-sa	1350	laravel
/videos/254123930	Riccardo Scasseddu - Playmoove: Shared mobility within everyone's reach (developers included) - LaravelDay 2017	GrUSP	1334	it	by-nc-nd	1280	laravel
